epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1647.09,1.27313,1.8189,1.46896,1.4779,0.40576,0.53065,0.40396,0.21423,0.41,0.58005,0.42697,0.22277,1.2515,1.68327,1.64211,1.65429,0.000823063,0.000823063,0.000823063
71,1669.99,1.36241,1.84562,1.46064,1.54037,0.43475,0.62178,0.45184,0.23733,0.43751,0.65015,0.46581,0.25713,1.38767,1.76822,1.52348,1.78579,0.000816875,0.000816875,0.000816875
72,1694.43,1.3228,1.76863,1.3892,1.46516,0.53256,0.4627,0.45637,0.22141,0.55328,0.48651,0.47878,0.23469,1.41643,1.73728,1.58458,1.91837,0.000810688,0.000810688,0.000810688
73,1717.01,1.30792,1.71713,1.42657,1.48224,0.47686,0.55091,0.5047,0.25949,0.41028,0.68686,0.52446,0.26677,1.33611,1.6062,1.54429,1.81482,0.0008045,0.0008045,0.0008045
74,1740.89,1.36321,1.78215,1.47094,1.50299,0.46012,0.52823,0.45973,0.25433,0.50292,0.51788,0.50529,0.28302,1.34315,1.52133,1.57269,1.79918,0.000798313,0.000798313,0.000798313
75,1764.2,1.27154,1.58427,1.33252,1.44295,0.54966,0.55501,0.46367,0.25465,0.57389,0.57792,0.48979,0.2663,1.35882,1.68258,1.46828,1.79067,0.000792125,0.000792125,0.000792125
76,1786.96,1.21189,1.66421,1.32362,1.39011,0.51239,0.46973,0.44079,0.24548,0.56666,0.5004,0.46325,0.25588,1.35884,1.61901,1.44479,1.75216,0.000785938,0.000785938,0.000785938
77,1810.55,1.25833,1.66804,1.32599,1.43354,0.6132,0.49978,0.5093,0.23553,0.61277,0.48223,0.50183,0.25667,1.39663,1.65292,1.4099,1.80429,0.00077975,0.00077975,0.00077975
78,1832.95,1.25917,1.67799,1.25144,1.42883,0.53998,0.57209,0.48594,0.28359,0.60405,0.61551,0.53795,0.30238,1.27557,1.53567,1.40422,1.66676,0.000773563,0.000773563,0.000773563
79,1856.76,1.24168,1.66427,1.33091,1.43568,0.49474,0.49565,0.43462,0.22595,0.53829,0.54327,0.48127,0.22828,1.3843,1.72467,1.50658,1.74225,0.000767375,0.000767375,0.000767375
80,1879.26,1.20599,1.6169,1.29502,1.39745,0.34654,0.50714,0.39822,0.20513,0.39915,0.51909,0.42201,0.21601,1.41573,1.64379,1.51544,1.80278,0.000761188,0.000761188,0.000761188
81,1902.19,1.29116,1.67959,1.38895,1.50389,0.42086,0.36333,0.38578,0.2134,0.43217,0.37725,0.40672,0.21703,1.33282,1.65191,1.76025,1.71768,0.000755,0.000755,0.000755
82,1925.74,1.22428,1.6342,1.30295,1.42388,0.37843,0.62459,0.41434,0.23224,0.40988,0.60586,0.42157,0.24492,1.252,1.5134,1.50774,1.64771,0.000748813,0.000748813,0.000748813
83,1948.36,1.21736,1.64239,1.31748,1.36318,0.45293,0.47791,0.41524,0.23624,0.51395,0.48114,0.45039,0.24537,1.32297,1.65133,1.62306,1.67229,0.000742625,0.000742625,0.000742625
84,1971.39,1.22414,1.65636,1.30334,1.39458,0.48051,0.40417,0.41348,0.22905,0.56551,0.4714,0.4907,0.24679,1.26211,1.6691,1.51374,1.69602,0.000736438,0.000736438,0.000736438
85,1993.84,1.22697,1.62668,1.28494,1.41065,0.46756,0.54576,0.44885,0.21567,0.46902,0.5459,0.4698,0.23687,1.37435,1.61335,1.4014,1.76193,0.00073025,0.00073025,0.00073025
86,2016.15,1.2015,1.54615,1.2125,1.37899,0.52475,0.45349,0.46453,0.24551,0.5405,0.4773,0.49725,0.25724,1.37731,1.62181,1.52481,1.83029,0.000724062,0.000724062,0.000724062
87,2039.73,1.24699,1.63521,1.39846,1.40671,0.33518,0.59546,0.44187,0.26357,0.50689,0.46925,0.50034,0.27184,1.25615,1.51501,1.41783,1.58624,0.000717875,0.000717875,0.000717875
88,2062.32,1.24567,1.62558,1.32852,1.45511,0.55057,0.43869,0.51308,0.25964,0.55057,0.43869,0.5025,0.2559,1.34308,1.65268,1.40783,1.69485,0.000711687,0.000711687,0.000711687
89,2084.87,1.21935,1.5311,1.3141,1.44151,0.41044,0.46101,0.40665,0.22789,0.44056,0.48481,0.43561,0.23657,1.34122,1.65744,1.79315,1.70119,0.0007055,0.0007055,0.0007055
90,2107.34,1.1982,1.64763,1.33694,1.40196,0.38705,0.56502,0.42449,0.22657,0.39351,0.57379,0.43614,0.22375,1.31186,1.5975,1.46974,1.70572,0.000699312,0.000699312,0.000699312
91,2129.65,1.21791,1.67312,1.31789,1.36952,0.44153,0.49985,0.44754,0.25971,0.47764,0.52972,0.47853,0.2659,1.35591,1.71049,1.49502,1.7942,0.000693125,0.000693125,0.000693125
92,2153.24,1.21403,1.57103,1.25693,1.40785,0.46424,0.52389,0.48736,0.2684,0.4896,0.5387,0.50456,0.27162,1.35939,1.6954,1.35163,1.75048,0.000686937,0.000686937,0.000686937
93,2176.01,1.10106,1.57171,1.25942,1.34895,0.41872,0.56081,0.43326,0.25484,0.44056,0.58462,0.46116,0.25714,1.35423,1.5895,1.50355,1.85668,0.00068075,0.00068075,0.00068075
